,index,0,1
1190,1190,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1191,1191,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1192,1192,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1193,1193,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
1194,1194,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1195,1195,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1196,1196,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1197,1197,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1198,1198,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
1199,1199,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN BÜCHERBINDEN
1200,1200,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1201,1201,Österreichische Volkspartei,AMTSAUSSTATTUNG
1202,1202,Die Grünen - Die Grüne Alternative,AMTSAUSSTATTUNG GBG
1203,1203,Freiheitliche Partei Österreichs,AMTSAUSSTATTUNG HOLDING
1204,1204,BZÖ-Mag. Ewald Stadler,AMTSAUSSTATTUNG
1205,1205,Kommunistische Partei Österreichs,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
1206,1206,Unabhängige Bürgerinitiative Rettet Österreich,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
1207,1207,Liberales Forum,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
1208,1208,Die Christen,TREIBSTOFFE
1209,1209,Bürgerforum Österreich Liste Fritz Dinkhauser,TREIBSTOFFE GRW
1210,1210,Sozialdemokratische Partei Österreichs,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
1211,1211,Österreichische Volkspartei,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
1212,1212,Die Grünen - Die Grüne Alternative,DRUCKWERKE
1213,1213,Freiheitliche Partei Österreichs,DRUCKWERKE KOPIERSERVICE - MDPA
1214,1214,BZÖ-Mag. Ewald Stadler,DRUCKWERKE
1215,1215,Kommunistische Partei Österreichs,DRUCKWERKE
1216,1216,Unabhängige Bürgerinitiative Rettet Österreich,DRUCKWERKE GRW
1217,1217,Liberales Forum,DRUCKWERKE VOLKSBEFRAGUNG
1218,1218,Die Christen,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
1219,1219,Bürgerforum Österreich Liste Fritz Dinkhauser,SONSTIGE VERBRAUCHSGÜTER
1220,1220,Sozialdemokratische Partei Österreichs,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1221,1221,Österreichische Volkspartei,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1222,1222,Die Grünen - Die Grüne Alternative,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1223,1223,Freiheitliche Partei Österreichs,REISEGEBÜHREN
1224,1224,BZÖ-Mag. Ewald Stadler,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1225,1225,Kommunistische Partei Österreichs,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1226,1226,Unabhängige Bürgerinitiative Rettet Österreich,MEHRLEISTUNGSVERGÜTUNGEN
1227,1227,Liberales Forum,MEHRLEISTUNGSVERGÜTUNGEN
1228,1228,Die Christen,MEHRLEISTUNGSVERGÜTUNGEN
1229,1229,Bürgerforum Österreich Liste Fritz Dinkhauser,MEHRLEISTUNGSVERGÜTUNGEN GRW
1230,1230,Sozialdemokratische Partei Österreichs,MEHRLEISTUNGSVERGÜTUNGEN VOLKSBEFRAGUNG
1231,1231,Österreichische Volkspartei,SONSTIGE NEBENGEBÜHREN
1232,1232,Die Grünen - Die Grüne Alternative,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
1233,1233,Freiheitliche Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1234,1234,BZÖ-Mag. Ewald Stadler,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1235,1235,Kommunistische Partei Österreichs,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
1236,1236,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON GEBÄUDEN
1237,1237,Liberales Forum,INSTANDH. VON GEBÄUDEN GBG
1238,1238,Die Christen,INSTANDH. VON MASCHINEN U. MASCHINELLEN ANLAGEN
1239,1239,Bürgerforum Österreich Liste Fritz Dinkhauser,INSTANDH. VON MASCHINEN U. MASCHINELLEN ANLAGEN
1240,1240,Sozialdemokratische Partei Österreichs,INSTANDH. VON SONSTIGEN ANLAGEN
1241,1241,Österreichische Volkspartei,INSTANDH. VON SONSTIGEN ANLAGEN GBG
1242,1242,Die Grünen - Die Grüne Alternative,INSTANDH. VON SONSTIGEN ANLAGEN HOLDING
1243,1243,Freiheitliche Partei Österreichs,INSTANDH. VON SONSTIGEN ANLAGEN WB
1244,1244,BZÖ-Mag. Ewald Stadler,PERSONEN- UND GÜTERTRANSPORTE
1245,1245,Kommunistische Partei Österreichs,PERSONEN- UND GÜTERTRANSPORTE GBG
1246,1246,Unabhängige Bürgerinitiative Rettet Österreich,PERSONEN- UND GÜTERTRANSPORTE HOLDING
1247,1247,Liberales Forum,PERSONEN- UND GÜTERTRANSPORTE WB
1248,1248,Die Christen,PERSONEN- UND GÜTERTRANSPORTE
1249,1249,Bürgerforum Österreich Liste Fritz Dinkhauser,PERSONEN- UND GÜTERTRANSPORTE
1250,1250,Sozialdemokratische Partei Österreichs,PERSONEN- UND GÜTERTRANSPORTE GRW
1251,1251,Österreichische Volkspartei,PERSONEN- UND GÜTERTRANSPORTE VOLKSBEFRAGUNG
1252,1252,Die Grünen - Die Grüne Alternative,POSTDIENSTE
1253,1253,Freiheitliche Partei Österreichs,POSTDIENSTE
1254,1254,BZÖ-Mag. Ewald Stadler,POSTDIENSTE GRW
1255,1255,Kommunistische Partei Österreichs,POSTDIENSTE VOLKSBEFRAGUNG
1256,1256,Unabhängige Bürgerinitiative Rettet Österreich,TELEKOMMUNIKATIONSDIENSTE
1257,1257,Liberales Forum,TELEKOMMUNIKATIONSDIENSTE
1258,1258,Die Christen,ZINSEN FÜR FINANZSCHULDEN - INLAND
1259,1259,Bürgerforum Österreich Liste Fritz Dinkhauser,SCHADENSFÄLLE
1260,1260,Sozialdemokratische Partei Österreichs,MIETZINSE KOPIERER
1261,1261,Österreichische Volkspartei,MIETZINSE GRW
1262,1262,Die Grünen - Die Grüne Alternative,MIETZINSE VOLKSBEFRAGUNG
1263,1263,Freiheitliche Partei Österreichs,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
1264,1264,BZÖ-Mag. Ewald Stadler,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN VOLKSBEFRAGUNG
1265,1265,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
1266,1266,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1267,1267,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1268,1268,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1269,1269,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN Nationalratswahlen
1270,1270,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1271,1271,Österreichische Volkspartei,"ENTGELTE FÜR SONSTIGE LEISTUNGEN Nationalratswahlen, Holding"
1272,1272,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1273,1273,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1274,1274,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1275,1275,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
1276,1276,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN GRW
1277,1277,Liberales Forum,"ENTGELTE FÜR SONSTIGE LEISTUNGEN GRW, HOLDING"
1278,1278,Die Christen,"ENTGELTE FÜR SONSTIGE LEISTUNGEN REGISTERZÄHLUNG, ITG"
1279,1279,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN VOLKSBEFRAGUNG
1280,1280,Sozialdemokratische Partei Österreichs,"INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN VOLKSBEFRAGUNG, HOLDING"
1281,1281,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1282,1282,Die Grünen - Die Grüne Alternative,AMTSAUSSTATTUNG
1283,1283,Freiheitliche Partei Österreichs,AMTSAUSSTATTUNG GBG
1284,1284,BZÖ-Mag. Ewald Stadler,AMTSAUSSTATTUNG WB
1285,1285,Kommunistische Partei Österreichs,AKTIVIERUNGSFÄHIGE RECHTE
1286,1286,Unabhängige Bürgerinitiative Rettet Österreich,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
1287,1287,Liberales Forum,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
1288,1288,Die Christen,HANDELSWAREN REISEPÄSSE UND PERSONALAUSWEISE
1289,1289,Bürgerforum Österreich Liste Fritz Dinkhauser,BRENNSTOFFE
1290,1290,Sozialdemokratische Partei Österreichs,REINIGUNGSMITTEL GBG
1291,1291,Österreichische Volkspartei,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
1292,1292,Die Grünen - Die Grüne Alternative,DRUCKWERKE
1293,1293,Freiheitliche Partei Österreichs,DRUCKWERKE KOPIERSERVICE - MDPA
1294,1294,BZÖ-Mag. Ewald Stadler,MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG
1295,1295,Kommunistische Partei Österreichs,SONSTIGE VERBRAUCHSGÜTER
1296,1296,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE VERBRAUCHSGÜTER GBG
1297,1297,Liberales Forum,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1298,1298,Die Christen,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1299,1299,Bürgerforum Österreich Liste Fritz Dinkhauser,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1300,1300,Sozialdemokratische Partei Österreichs,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1301,1301,Österreichische Volkspartei,REISEGEBÜHREN
1302,1302,Die Grünen - Die Grüne Alternative,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1303,1303,Freiheitliche Partei Österreichs,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1304,1304,BZÖ-Mag. Ewald Stadler,MEHRLEISTUNGSVERGÜTUNGEN
1305,1305,Kommunistische Partei Österreichs,MEHRLEISTUNGSVERGÜTUNGEN
1306,1306,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE NEBENGEBÜHREN
1307,1307,Liberales Forum,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
1308,1308,Die Christen,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1309,1309,Bürgerforum Österreich Liste Fritz Dinkhauser,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1310,1310,Sozialdemokratische Partei Österreichs,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
1311,1311,Österreichische Volkspartei,STROM
1312,1312,Die Grünen - Die Grüne Alternative,WASSER
1313,1313,Freiheitliche Partei Österreichs,WÄRME
1314,1314,BZÖ-Mag. Ewald Stadler,INSTANDH. VON GEBÄUDEN
1315,1315,Kommunistische Partei Österreichs,INSTANDH. VON GEBÄUDEN GBG
1316,1316,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON GEBÄUDEN
1317,1317,Liberales Forum,INSTANDH. VON GEBÄUDEN
1318,1318,Die Christen,INSTANDH. VON GEBÄUDEN
1319,1319,Bürgerforum Österreich Liste Fritz Dinkhauser,INSTANDH. VON SONSTIGEN ANLAGEN
1320,1320,Sozialdemokratische Partei Österreichs,INSTANDH. VON SONSTIGEN ANLAGEN GBG
1321,1321,Österreichische Volkspartei,PERSONEN- UND GÜTERTRANSPORTE
1322,1322,Die Grünen - Die Grüne Alternative,PERSONEN- UND GÜTERTRANSPORTE GBG
1323,1323,Freiheitliche Partei Österreichs,PERSONEN- UND GÜTERTRANSPORTE WB
1324,1324,BZÖ-Mag. Ewald Stadler,POSTDIENSTE
1325,1325,Kommunistische Partei Österreichs,TELEKOMMUNIKATIONSDIENSTE
1326,1326,Unabhängige Bürgerinitiative Rettet Österreich,TELEKOMMUNIKATIONSDIENSTE
1327,1327,Liberales Forum,ZINSEN FÜR FINANZSCHULDEN - INLAND
1328,1328,Die Christen,GELDVERKEHRSSPESEN
1329,1329,Bürgerforum Österreich Liste Fritz Dinkhauser,VERSICHERUNGEN
1330,1330,Sozialdemokratische Partei Österreichs,MIETZINSE
1331,1331,Österreichische Volkspartei,MIETZINSE LEASINGRATEN
1332,1332,Die Grünen - Die Grüne Alternative,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
1333,1333,Freiheitliche Partei Österreichs,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
1334,1334,BZÖ-Mag. Ewald Stadler,BIBLIOTHEKSERFORDERNISSE
1335,1335,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1336,1336,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1337,1337,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1338,1338,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1339,1339,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
1340,1340,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1341,1341,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1342,1342,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1343,1343,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1344,1344,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1345,1345,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
1346,1346,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN EINSCHALTUNGEN
1347,1347,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1348,1348,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1349,1349,Bürgerforum Österreich Liste Fritz Dinkhauser,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
1350,1350,Sozialdemokratische Partei Österreichs,STROM
1351,1351,Österreichische Volkspartei,GAS
1352,1352,Die Grünen - Die Grüne Alternative,WASSER
1353,1353,Freiheitliche Partei Österreichs,WÄRME
1354,1354,BZÖ-Mag. Ewald Stadler,INSTANDH. VON SONSTIGEN GRUNDSTÜCKSEINRICHTUNGEN
1355,1355,Kommunistische Partei Österreichs,INSTANDH. VON GEBÄUDEN
1356,1356,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON GEBÄUDEN GBG
1357,1357,Liberales Forum,INSTANDH. VON GEBÄUDEN SCHADENSLIQUIDIERUNGEN
1358,1358,Die Christen,INSTANDH. VON GEBÄUDEN
1359,1359,Bürgerforum Österreich Liste Fritz Dinkhauser,PERSONEN- UND GÜTERTRANSPORTE
1360,1360,Sozialdemokratische Partei Österreichs,PERSONEN- UND GÜTERTRANSPORTE GBG
1361,1361,Österreichische Volkspartei,ZINSEN FÜR FINANZSCHULDEN - INLAND
1362,1362,Die Grünen - Die Grüne Alternative,VERSICHERUNGEN
1363,1363,Freiheitliche Partei Österreichs,MIETZINSE
1364,1364,BZÖ-Mag. Ewald Stadler,MIETZINSE GBG-MIETEN
1365,1365,Kommunistische Partei Österreichs,MIETZINSE KÜNDIGUNGSVERZICHT
1366,1366,Unabhängige Bürgerinitiative Rettet Österreich,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
1367,1367,Liberales Forum,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
1368,1368,Die Christen,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄS FAG."
1369,1369,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1370,1370,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1371,1371,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1372,1372,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1373,1373,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1374,1374,BZÖ-Mag. Ewald Stadler,AMTSAUSSTATTUNG
1375,1375,Kommunistische Partei Österreichs,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
1376,1376,Unabhängige Bürgerinitiative Rettet Österreich,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
1377,1377,Liberales Forum,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS ITG
1378,1378,Die Christen,HANDELSWAREN BEHINDERTENMASSNAHMEN
1379,1379,Bürgerforum Österreich Liste Fritz Dinkhauser,REINIGUNGSMITTEL GBG
1380,1380,Sozialdemokratische Partei Österreichs,REINIGUNGSMITTEL
1381,1381,Österreichische Volkspartei,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
1382,1382,Die Grünen - Die Grüne Alternative,DRUCKWERKE
1383,1383,Freiheitliche Partei Österreichs,DRUCKWERKE KOPIERSERVICE - MDPA
1384,1384,BZÖ-Mag. Ewald Stadler,DRUCKWERKE
1385,1385,Kommunistische Partei Österreichs,SONSTIGE VERBRAUCHSGÜTER
1386,1386,Unabhängige Bürgerinitiative Rettet Österreich,SONSTIGE VERBRAUCHSGÜTER
1387,1387,Liberales Forum,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1388,1388,Die Christen,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1389,1389,Bürgerforum Österreich Liste Fritz Dinkhauser,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1390,1390,Sozialdemokratische Partei Österreichs,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1391,1391,Österreichische Volkspartei,REISEGEBÜHREN
1392,1392,Die Grünen - Die Grüne Alternative,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1393,1393,Freiheitliche Partei Österreichs,MEHRLEISTUNGSVERGÜTUNGEN
1394,1394,BZÖ-Mag. Ewald Stadler,MEHRLEISTUNGSVERGÜTUNGEN
1395,1395,Kommunistische Partei Österreichs,SONSTIGE NEBENGEBÜHREN
1396,1396,Unabhängige Bürgerinitiative Rettet Österreich,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
1397,1397,Liberales Forum,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1398,1398,Die Christen,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1399,1399,Bürgerforum Österreich Liste Fritz Dinkhauser,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
1400,1400,Sozialdemokratische Partei Österreichs,STROM
1401,1401,Österreichische Volkspartei,WÄRME
1402,1402,Die Grünen - Die Grüne Alternative,INSTANDH. VON GEBÄUDEN
1403,1403,Freiheitliche Partei Österreichs,INSTANDH. VON GEBÄUDEN GBG
1404,1404,BZÖ-Mag. Ewald Stadler,INSTANDH. VON SONSTIGEN ANLAGEN
1405,1405,Kommunistische Partei Österreichs,PERSONEN- UND GÜTERTRANSPORTE
1406,1406,Unabhängige Bürgerinitiative Rettet Österreich,PERSONEN- UND GÜTERTRANSPORTE GBG
1407,1407,Liberales Forum,POSTDIENSTE
1408,1408,Die Christen,TELEKOMMUNIKATIONSDIENSTE
1409,1409,Bürgerforum Österreich Liste Fritz Dinkhauser,TELEKOMMUNIKATIONSDIENSTE
1410,1410,Sozialdemokratische Partei Österreichs,BERATUNGSKOSTEN
1411,1411,Österreichische Volkspartei,ZINSEN FÜR FINANZSCHULDEN - INLAND
1412,1412,Die Grünen - Die Grüne Alternative,VERSICHERUNGEN
1413,1413,Freiheitliche Partei Österreichs,MIETZINSE KÜNDIGUNGSVERZICHT
1414,1414,BZÖ-Mag. Ewald Stadler,MIETZINSE KÜNDIGUNGSVERZICHT
1415,1415,Kommunistische Partei Österreichs,MIETZINSE
1416,1416,Unabhängige Bürgerinitiative Rettet Österreich,MIETZINSE KÜNDIGUNGSVERZICHT
1417,1417,Liberales Forum,"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG."
1418,1418,Die Christen,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
1419,1419,Bürgerforum Österreich Liste Fritz Dinkhauser,MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND)
1420,1420,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1421,1421,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1422,1422,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG
1423,1423,Freiheitliche Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1424,1424,BZÖ-Mag. Ewald Stadler,ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG
1425,1425,Kommunistische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1426,1426,Unabhängige Bürgerinitiative Rettet Österreich,ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG
1427,1427,Liberales Forum,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1428,1428,Die Christen,ENTGELTE FÜR SONSTIGE LEISTUNGEN GEBIETSBETREUUNG
1429,1429,Bürgerforum Österreich Liste Fritz Dinkhauser,ENTGELTE FÜR SONSTIGE LEISTUNGEN INFORMATIONSARBEIT
1430,1430,Sozialdemokratische Partei Österreichs,ENTGELTE FÜR SONSTIGE LEISTUNGEN BAUEN OHNE BARRIERE
1431,1431,Österreichische Volkspartei,ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN
1432,1432,Die Grünen - Die Grüne Alternative,ENTGELTE FÜR SONSTIGE LEISTUNGEN
1433,1433,Freiheitliche Partei Österreichs,LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS
1434,1434,BZÖ-Mag. Ewald Stadler,LFD. TRANSFERZ. AN UNTERNEHMUNGEN (OHNE FINANZUNTE
1435,1435,Kommunistische Partei Österreichs,LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW
1436,1436,Unabhängige Bürgerinitiative Rettet Österreich,AMTSAUSSTATTUNG
1437,1437,Liberales Forum,AMTSAUSSTATTUNG
1438,1438,Die Christen,INVESTITIONSDARLEHEN VON KREDITINSTITUTEN
1439,1439,Bürgerforum Österreich Liste Fritz Dinkhauser,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS
1440,1440,Sozialdemokratische Partei Österreichs,GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS ITG
1441,1441,Österreichische Volkspartei,HANDELSWAREN
1442,1442,Die Grünen - Die Grüne Alternative,REINIGUNGSMITTEL GBG
1443,1443,Freiheitliche Partei Österreichs,"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL"
1444,1444,BZÖ-Mag. Ewald Stadler,DRUCKWERKE
1445,1445,Kommunistische Partei Österreichs,DRUCKWERKE KOPIERSERVICE - MDPA
1446,1446,Unabhängige Bürgerinitiative Rettet Österreich,DRUCKWERKE
1447,1447,Liberales Forum,SONSTIGE VERBRAUCHSGÜTER
1448,1448,Die Christen,SONSTIGE VERBRAUCHSGÜTER
1449,1449,Bürgerforum Österreich Liste Fritz Dinkhauser,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1450,1450,Sozialdemokratische Partei Österreichs,GELDBEZÜGE DER BEAMTEN DER VERWALTUNG
1451,1451,Österreichische Volkspartei,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1452,1452,Die Grünen - Die Grüne Alternative,GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG
1453,1453,Freiheitliche Partei Österreichs,REISEGEBÜHREN
1454,1454,BZÖ-Mag. Ewald Stadler,SONSTIGE AUFWANDSENTSCHÄDIGUNGEN
1455,1455,Kommunistische Partei Österreichs,MEHRLEISTUNGSVERGÜTUNGEN
1456,1456,Unabhängige Bürgerinitiative Rettet Österreich,MEHRLEISTUNGSVERGÜTUNGEN
1457,1457,Liberales Forum,BELOHNUNGEN UND GELDAUSHILFEN
1458,1458,Die Christen,SONSTIGE NEBENGEBÜHREN
1459,1459,Bürgerforum Österreich Liste Fritz Dinkhauser,DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN
1460,1460,Sozialdemokratische Partei Österreichs,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1461,1461,Österreichische Volkspartei,SONSTIGE DGB ZUR SOZIALEN SICHERHEIT
1462,1462,Die Grünen - Die Grüne Alternative,FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)
1463,1463,Freiheitliche Partei Österreichs,STROM
1464,1464,BZÖ-Mag. Ewald Stadler,WÄRME
1465,1465,Kommunistische Partei Österreichs,INSTANDH. VON GEBÄUDEN
1466,1466,Unabhängige Bürgerinitiative Rettet Österreich,INSTANDH. VON GEBÄUDEN
1467,1467,Liberales Forum,INSTANDH. VON SONSTIGEN ANLAGEN
1468,1468,Die Christen,PERSONEN- UND GÜTERTRANSPORTE
1469,1469,Bürgerforum Österreich Liste Fritz Dinkhauser,POSTDIENSTE
1470,1470,Sozialdemokratische Partei Österreichs,TELEKOMMUNIKATIONSDIENSTE
1471,1471,Österreichische Volkspartei,BERATUNGSKOSTEN
1472,1472,Die Grünen - Die Grüne Alternative,ZINSEN FÜR FINANZSCHULDEN - INLAND
1473,1473,Freiheitliche Partei Österreichs,VERSICHERUNGEN
1474,1474,BZÖ-Mag. Ewald Stadler,MIETZINSE KÜNDIGUNGSVERZICHT
1475,1475,Kommunistische Partei Österreichs,MIETZINSE KÜNDIGUNGSVERZICHT
1476,1476,Unabhängige Bürgerinitiative Rettet Österreich,AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN
